Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Chad,TCD,2010,,0.4482385422881723,0.09150796989122399,0.056451612903225805,0.31842670915299526,0.861145500103,0.6292102117748014,0.46833726688338595,-1.3135248345192978,-0.15797518665797824,-2.3651526534475766,-1.0030211211337605
United States,USA,2010,0.012644889357218124,0.3691435846233964,0.971058935492494,1.0,0.9878334738977292,0.0020038907542885265,0.6227742192528117,0.3920400483456731,1.7808877891335397,2.1169485901881537,0.8699850124390838,1.3676258392724552
Guam,GUM,2006,,0.35225873340430564,,1.0,0.9944366353816785,,0.6069600661987802,0.3484051227977497,-1.356477054400949,-0.2510023450493823,0.6351002089125749,0.9646614328689441
South Africa,ZAF,2008,0.3192834562697576,0.37842953799563894,0.611124307851869,0.8175403225806452,0.8606608285986959,0.2613708776961348,0.560804805541083,0.3954485902004245,1.1601728909914595,0.1391700618521196,-1.696723166668438,0.06427531034301662
"Hong Kong SAR, China",HKG,2012,,0.37694308922070907,0.750895928035018,1.0,0.9969192250449923,,0.5616629378773482,0.3852009937652704,0.7588272729982942,-0.19750933355717523,1.4284826502560737,1.1901115824709472
Palau,PLW,2007,,0.29828128881042293,,0.9838709677419355,0.993023348347619,,,0.3855703898645091,3.2235377648484405,-0.2521168649525815,-0.4302910615895285,0.39320691928010726
Uruguay,URY,2004,0.01791359325605901,0.34535580699748203,,0.9798387096774194,0.966128987250549,0.23721768185108205,0.5576940758221213,0.40791217217266756,-0.27654263295135983,-0.22712238706738955,0.5033484904972143,-0.18499356114624474
Dominican Republic,DOM,2011,0.05584826132771338,0.38194605812903687,0.479894753603467,0.9788306451612904,0.9316806238263475,,0.5373440804192587,0.3954549033135802,-0.1403389297431145,-0.17610128066126968,0.1821610111478503,0.026570852554262378
Austria,AUT,2018,0.006322444678609062,0.358281798336671,0.996653567714962,1.0,0.9999999915777287,,0.5796683931472002,0.39058980513182623,0.9421839044039678,-0.18456411791245297,1.2285157428671667,1.3999350940704947
New Caledonia,NCL,2002,,0.4031245464690992,,1.0,0.9398037195057933,,0.652946765147568,,1.2489600029853876,-0.25048621995462345,0.3849084742015409,0.669043157453939
Qatar,QAT,2008,,0.8459294982363769,0.8756720113578981,1.0,0.9988062228276244,,0.965444849673603,0.4949343919374185,2.695520100701688,-0.24133721209138645,0.8381889976616405,1.6881991307200988
Kosovo,XKX,2009,0.11064278187565858,0.33315353520393404,,,,,,0.40812316494884676,,-0.23852104236985727,0.4431613928791442,-0.4375981337376942
Czechia,CZE,2006,0.001053740779768177,0.35173926959033536,0.859357410703103,1.0,0.9979566656156542,0.0005009726885721316,0.5544454319776885,0.41904146091169564,1.4456128381550657,-0.1738553167119655,0.6404920448972589,0.6349634104942926
Virgin Islands (U.S.),VIR,2004,,0.34245998701997227,,1.0,0.9842387645925368,,0.5898127432651935,0.3961005991532679,-1.355804058010132,-0.25143404853717616,0.7825723343548295,1.1597223680900182
Papua New Guinea,PNG,2022,,0.40049307544193014,,0.18346774193548387,0.38801981968134763,0.22312021020012454,0.44282693309632526,0.412747591699896,-0.8758418708053022,-0.17412898240014602,-0.6395237128553728,-0.3716678550986828
"Venezuela, RB",VEN,2002,0.23287671232876714,0.3982414503698841,0.256549837962384,0.997983870967742,0.9615521354484247,0.26458261360257074,0.6177633393606913,0.3126381771381626,0.6946858550593299,-0.05747873775773863,0.21936551194389747,-0.2685807935392956
Nauru,NRU,2001,,0.33222093996904556,,0.9899193548387096,0.9755268269707413,,,0.3270364255655446,-1.3577731445842158,-0.2521871039746319,-1.2985098553957595,-0.579581431022342
Morocco,MAR,2018,,0.3769335331045066,0.594288997277069,0.9808467741935483,0.8036513654470945,0.10871989053947144,0.34737503447853124,0.3945865578580192,-0.2501099336027202,0.022195601174327784,0.3471350972465317,-0.2951514261233549
Pakistan,PAK,2021,,0.4006240116850592,,0.9485887096774194,0.8829586024734735,,0.4541818627601212,0.4182902072480999,-0.6230018448223261,1.5816523011406618,-0.5827498721910687,-0.8498058720571405
Chad,TCD,2006,,0.4523788600157065,0.08831926386802831,0.04334677419354838,0.288730933025452,0.8837349597979437,0.6601029758803518,0.3699279613078612,-1.3089860347053526,-0.17027506405715057,-2.5198869686849603,-1.1484475568039734
